"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6100","Verify Inventory List is Displayed","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Inventory List and Add to Cart Journey","inventory.spec.js","",""
"","6080","Positive: Add a single item to cart and verify the count","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Add to Cart Feature","cart.spec.js","",""
"","5923","Negative: Verify no items in cart when nothing is added","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Add to Cart Feature","cart.spec.js","",""
"","5199","Negative: Verify cart badge is not visible without adding any items","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:54 BDT 2025","Add to Cart Feature","cart.spec.js","",""
"","2353","Login with invalid username","chromium","Wed Jan 01 12:25:56 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","SauceDemo Login Tests using POM","login.spec.js","",""
"","2249","Login with invalid password","chromium","Wed Jan 01 12:25:56 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","SauceDemo Login Tests using POM","login.spec.js","",""
"","3080","Verify Product Appears in Cart After Adding","chromium","Wed Jan 01 12:25:55 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","Inventory List and Add to Cart Journey","inventory.spec.js","",""
"","6398","Positive: Add multiple items to cart and verify the count","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Add to Cart Feature","cart.spec.js","",""
"","2194","Login with locked out user","chromium","Wed Jan 01 12:25:56 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","SauceDemo Login Tests using POM","login.spec.js","",""
"","2066","Login with valid credentials","chromium","Wed Jan 01 12:25:55 BDT 2025","passed","Wed Jan 01 12:25:57 BDT 2025","SauceDemo Login Tests using POM","login.spec.js","",""
"","6726","Complete order journey from cart page","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:56 BDT 2025","Add to Cart Feature","cart.spec.js","",""
"","2485","Verify Cart Icon Does Not Show Count When No Items Are Added","chromium","Wed Jan 01 12:25:55 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","Inventory List and Add to Cart Journey","inventory.spec.js","",""
"","6017","Add Product to Cart and Verify Cart Count","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Inventory List and Add to Cart Journey","inventory.spec.js","",""
"","5744","Verify Product Details are Displayed Correctly","chromium","Wed Jan 01 12:25:49 BDT 2025","passed","Wed Jan 01 12:25:55 BDT 2025","Inventory List and Add to Cart Journey","inventory.spec.js","",""
"","2361","Login with empty credentials","chromium","Wed Jan 01 12:25:56 BDT 2025","passed","Wed Jan 01 12:25:58 BDT 2025","SauceDemo Login Tests using POM","login.spec.js","",""
